id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
1,Bitcoin,BTC,bitcoin,11783,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19771550.0,19771550.0,False,,1,,,,2024-10-22T22:57:00.000Z,67783.74946705477,32098073765.32159,-15.8388,0.44993145,0.10536348,1.5568657,6.13268408,5.20148922,3.84673686,1340189791775.347,57.3567,1423458738808.15,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
1027,Ethereum,ETH,ethereum,9438,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120392960.0277458,120392960.0277458,True,,2,,,,2024-10-22T22:57:00.000Z,2640.2205686514376,15579401965.169113,-12.6046,0.28381137,-1.30602967,1.75798476,2.12491333,-4.77054332,-20.63376221,317863969386.0848,13.6038,317863969386.08,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
825,Tether USDt,USDT,tether,100903,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120219543500.33812,121337937370.43233,True,,3,,,,2024-10-22T22:57:00.000Z,0.9993357612498993,59131881157.87734,-13.1123,-0.00435453,-0.02906618,-0.03988952,-0.08732027,-0.16129289,-0.08208825,120139689021.02577,5.1417,121257340010.57,,2024-10-22T22:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-22 18:58:57.378023
1839,BNB,BNB,bnb,2267,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145931383.1775711,145931383.1775711,False,,4,,,,2024-10-22T22:57:00.000Z,595.5472797467153,1746743526.362236,-9.8837,0.15262899,-0.85707247,0.50091529,1.22940586,0.25428755,3.71830023,86909038281.07803,3.7195,86909038281.08,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
5426,Solana,SOL,solana,768,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470004016.3323825,586981131.7534387,True,,5,,,,2024-10-22T22:57:00.000Z,168.95658358372174,3494414936.328701,-13.5573,0.97131422,0.64054384,10.28542161,16.27655195,10.75211735,-4.95307588,79410272870.1471,3.3981,99174326649.17,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
3408,USDC,USDC,usd-coin,22594,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34589517377.795456,34589517377.795456,False,,6,,,,2024-10-22T22:57:00.000Z,0.9998124735904779,6326803353.28182,-9.75,-0.00668732,-0.01776849,-0.00734626,-0.02198808,-0.03076793,-0.03700731,34583030929.794495,1.4801,34583030929.79,,2024-10-22T22:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-22 18:58:57.378023
52,XRP,XRP,xrp,1407,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56706436160.0,99987115141.0,False,,7,,,,2024-10-22T22:57:00.000Z,0.5352565780783094,1123712437.1126618,-15.8825,0.39989395,-2.04381269,-0.95330865,-9.11622908,-12.54350549,-12.29032493,30352492974.017708,1.2989,53525657807.83,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
74,Dogecoin,DOGE,dogecoin,1084,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146478446383.7052,146478446383.7052,True,,8,,,,2024-10-22T22:57:00.000Z,0.14103546907446854,1654503084.1692455,-20.986,0.76768502,-2.36584897,22.48895378,32.26571939,24.09218577,9.73431724,20658656395.025253,0.8841,20658656395.03,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
1958,TRON,TRX,tron,1054,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86505157704.10504,86505155978.47905,True,,9,71659659264.0,11508311001.518793,,2024-10-22T22:57:00.000Z,0.16059678652840423,309124131.2772247,-4.405,0.11872425,1.27716048,1.16749618,5.68465786,1.45535243,19.5255941,13892450345.4121,0.5945,13892450068.28,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
11419,Toncoin,TON,toncoin,583,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539555912.335332,5113688441.518678,True,,10,3414166606.0,17890648937.78463,,2024-10-22T22:57:00.000Z,5.240121822509745,173920033.33364594,-8.1144,0.40058457,0.30196714,0.83937292,-6.58546111,-22.53105981,-23.58899388,13307582355.712017,0.5695,26796350395.92,,2024-10-22T22:57:00.000Z,,,,,,2024-10-22 18:58:57.378023
