name,percent_change,values
Bitcoin,1hr,-0.1099726
Bitcoin,24hr,-0.5946856250000001
Bitcoin,7d,1.624330715
Bitcoin,30d,6.50533247
Bitcoin,60d,5.59540148
Bitcoin,90d,2.533128455
Ethereum,1hr,0.13290321
Ethereum,24hr,-1.670511355
Ethereum,7d,2.192783405
Ethereum,30d,2.1389397600000004
Ethereum,60d,-4.676745005000001
Ethereum,90d,-21.363361705000003
Tether USDt,1hr,-0.008668875
Tether USDt,24hr,-0.0373872
Tether USDt,7d,-0.049872045000000004
Tether USDt,30d,-0.100013725
Tether USDt,60d,-0.171776015
Tether USDt,90d,-0.068856525
BNB,1hr,0.10201551
BNB,24hr,-0.883157435
BNB,7d,1.0525481550000002
BNB,30d,1.155733255
BNB,60d,1.078383155
BNB,90d,2.81497611
Solana,1hr,-0.49365309999999996
Solana,24hr,-0.079331995
Solana,7d,9.585244244999998
Solana,30d,15.752491375
Solana,60d,10.89847389
Solana,90d,-5.8155217100000005
USDC,1hr,-0.0021797
USDC,24hr,-0.014538635
USDC,7d,-0.012613705
USDC,30d,-0.033869275000000004
USDC,60d,-0.04433176
USDC,90d,-0.008078475
XRP,1hr,-0.22945390999999998
XRP,24hr,-2.64903052
XRP,7d,-1.311593325
XRP,30d,-9.870147145
XRP,60d,-12.766939064999999
XRP,90d,-14.336696830000001
Dogecoin,1hr,0.254509615
Dogecoin,24hr,-3.07474478
Dogecoin,7d,23.704853800000002
Dogecoin,30d,31.516397115
Dogecoin,60d,23.884531425
Dogecoin,90d,8.281490784999999
TRON,1hr,-0.05128013
TRON,24hr,1.0818208550000001
TRON,7d,1.069946845
TRON,30d,5.629894015
TRON,60d,1.430024365
TRON,90d,19.428481655
Toncoin,1hr,0.088649175
Toncoin,24hr,-0.049858295
Toncoin,7d,1.335249455
Toncoin,30d,-6.67426782
Toncoin,60d,-22.86686476
Toncoin,90d,-24.34302821
Cardano,1hr,-0.29010356000000004
Cardano,24hr,-0.49406511
Cardano,7d,2.750390115
Cardano,30d,3.258211165
Cardano,60d,-6.641723799999999
Cardano,90d,-11.919429130000001
Avalanche,1hr,0.116214665
Avalanche,24hr,-1.16414142
Avalanche,7d,-0.77760628
Avalanche,30d,1.4615021
Avalanche,60d,3.362187575
Avalanche,90d,-3.737620035
Shiba Inu,1hr,-0.262583005
Shiba Inu,24hr,-2.008776145
Shiba Inu,7d,1.8516509349999999
Shiba Inu,30d,24.714681329999998
Shiba Inu,60d,20.189019655000003
Shiba Inu,90d,7.032009865
Chainlink,1hr,-0.216156605
Chainlink,24hr,1.34010885
Chainlink,7d,6.8292516
Chainlink,30d,8.126523984999999
Chainlink,60d,-0.5737087249999999
Chainlink,90d,-11.221324065000001
Bitcoin Cash,1hr,0.042077485
Bitcoin Cash,24hr,-2.133878335
Bitcoin Cash,7d,1.89194631
Bitcoin Cash,30d,4.76452128
Bitcoin Cash,60d,-1.87348726
Bitcoin Cash,90d,-1.676347505
